games: 28, white: 50%, black: 21%, pgn:1. e4 c5 2. c3 e6 3. d4 Nf6 4. e5 Nd5 5. Nf3 cxd4 6. cxd4 b6 7. Bc4 Ba6 8. Bxd5 exd5 
games: 55, white: 49%, black: 20%, pgn:1. e4 c5 2. c3 e6 3. d4 Nf6 4. e5 Nd5 5. Nf3 cxd4 6. cxd4 d6 7. Bc4 dxe5 
games: 55, white: 49%, black: 20%, pgn:1. e4 c5 2. c3 e6 3. d4 Nf6 4. e5 Nd5 5. Nf3 cxd4 6. Bc4 d6 7. cxd4 dxe5 
games: 59, white: 47%, black: 18%, pgn:1. e4 c5 2. c3 e6 3. d4 d5 4. Nd2 Nc6 5. Ngf3 Nf6 6. e5 Nd7 7. Bd3 Be7 8. O-O cxd4 
games: 25, white: 56%, black: 28%, pgn:1. e4 c5 2. c3 e6 3. d4 d5 4. e5 Ne7 5. Nf3 Nec6 6. a3 a5 7. Bd3 b6 
games: 126, white: 51%, black: 23%, pgn:1. e4 c5 2. c3 e6 3. d4 d5 4. e5 Nc6 5. Nf3 Qb6 6. Bd3 cxd4 7. O-O Bd7 8. Re1
games: 126, white: 51%, black: 23%, pgn:1. e4 c5 2. c3 e6 3. d4 d5 4. e5 Nc6 5. Nf3 Qb6 6. Bd3 Bd7 7. O-O cxd4 8. Re1
games: 126, white: 51%, black: 23%, pgn:1. e4 c5 2. c3 e6 3. d4 d5 4. e5 Qb6 5. Nf3 Nc6 6. Bd3 cxd4 7. O-O Bd7 8. Re1
games: 126, white: 51%, black: 23%, pgn:1. e4 c5 2. c3 e6 3. d4 d5 4. e5 Qb6 5. Nf3 Nc6 6. Bd3 Bd7 7. O-O cxd4 8. Re1
games: 74, white: 50%, black: 22%, pgn:1. e4 c5 2. c3 e6 3. d4 b6 4. Nf3 Bb7 5. Bd3 d6 
games: 21, white: 42%, black: 14%, pgn:1. e4 c5 2. c3 e6 3. d4 d5 4. exd5 Qxd5 5. Na3 Nf6 6. Nb5
games: 14, white: 42%, black: 14%, pgn:1. e4 c5 2. c3 e6 3. d4 Nf6 4. e5 Nd5 5. Nf3 cxd4 6. cxd4 b6 7. Bd3 Ba6 8. Nc3
games: 11, white: 54%, black: 27%, pgn:1. e4 c5 2. c3 e6 3. d4 d5 4. e5 Nc6 5. Nf3 Nge7 6. Be2 cxd4 
games: 11, white: 54%, black: 27%, pgn:1. e4 c5 2. c3 e6 3. d4 d5 4. e5 Ne7 5. Nf3 Nbc6 6. Be2 cxd4 
games: 11, white: 54%, black: 27%, pgn:1. e4 c5 2. c3 e6 3. d4 d5 4. e5 Nc6 5. Nf3 Nge7 6. Be2 cxd4 7. cxd4
games: 11, white: 54%, black: 27%, pgn:1. e4 c5 2. c3 e6 3. d4 d5 4. e5 Ne7 5. Nf3 Nbc6 6. Be2 cxd4 7. cxd4
games: 15, white: 53%, black: 26%, pgn:1. e4 c5 2. c3 e6 3. d4 d5 4. e5 Nc6 5. Nf3 Qb6 6. a3 Bd7 7. b4 cxd4 8. cxd4 Nh6 
games: 15, white: 53%, black: 26%, pgn:1. e4 c5 2. c3 e6 3. d4 d5 4. e5 Nc6 5. Nf3 Qb6 6. a3 Bd7 7. b4 cxb4 8. cxb4 Nh6 
games: 15, white: 53%, black: 26%, pgn:1. e4 c5 2. c3 e6 3. d4 d5 4. e5 Qb6 5. Nf3 Nc6 6. a3 Bd7 7. b4 cxd4 8. cxd4 Nh6 
games: 15, white: 53%, black: 26%, pgn:1. e4 c5 2. c3 e6 3. d4 d5 4. e5 Qb6 5. Nf3 Nc6 6. a3 Bd7 7. b4 cxb4 8. cxb4 Nh6 
games: 15, white: 53%, black: 26%, pgn:1. e4 c5 2. c3 e6 3. d4 d5 4. e5 Qb6 5. a3 Nc6 6. Nf3 Bd7 7. b4 cxd4 8. cxd4 Nh6 
games: 15, white: 53%, black: 26%, pgn:1. e4 c5 2. c3 e6 3. d4 d5 4. e5 Qb6 5. a3 Nc6 6. Nf3 Bd7 7. b4 cxb4 8. cxb4 Nh6 
games: 65, white: 53%, black: 26%, pgn:1. e4 c5 2. c3 e6 3. d4 Nf6 4. e5 Nd5 5. Nf3 cxd4 6. cxd4 b6 7. Bd3 Be7 8. O-O Ba6 
games: 72, white: 50%, black: 23%, pgn:1. e4 c5 2. c3 e6 3. d4 b6 4. Nf3 Bb7 5. Bd3 d6 6. O-O
games: 168, white: 50%, black: 23%, pgn:1. e4 c5 2. c3 e6 3. d4 a6 4. Nf3 b5 5. Bd3 Bb7 6. O-O
games: 26, white: 50%, black: 23%, pgn:1. e4 c5 2. c3 e6 3. d4 d5 4. e5 Nc6 5. Nf3 Bd7 6. Be2 Nge7 7. O-O Ng6 8. Re1 Be7 
games: 26, white: 50%, black: 23%, pgn:1. e4 c5 2. c3 e6 3. d4 d5 4. e5 Bd7 5. Nf3 Nc6 6. Be2 Nge7 7. O-O Ng6 8. Re1 Be7 
games: 57, white: 49%, black: 22%, pgn:1. e4 c5 2. c3 e6 3. d4 d5 4. e5 Nc6 5. Nf3 Bd7 6. Be2 Nge7 7. Na3 cxd4 8. cxd4 Ng6 
games: 57, white: 49%, black: 22%, pgn:1. e4 c5 2. c3 e6 3. d4 d5 4. e5 Bd7 5. Nf3 Nc6 6. Be2 Nge7 7. Na3 cxd4 8. cxd4 Ng6 
games: 47, white: 48%, black: 21%, pgn:1. e4 c5 2. c3 e6 3. d4 d5 4. Nd2 Nc6 5. Ngf3 Nf6 6. e5 Nd7 7. Bd3 Be7 8. O-O O-O 
games: 99, white: 47%, black: 20%, pgn:1. e4 c5 2. c3 e6 3. d4 d5 4. e5 Ne7 5. Nf3 Nec6 6. Bd3
games: 26, white: 46%, black: 19%, pgn:1. e4 c5 2. c3 e6 3. d4 d5 4. e5 Nc6 5. Nf3 Qb6 6. a3 Bd7 7. b4 cxb4 
