games: 157, white: 35%, black: 12%, pgn:1. e4 e6 2. d4 d5 3. Nd2 c5 4. Ngf3 Nc6 5. exd5 exd5 6. Bb5 Bd6 7. dxc5 Bxc5 8. O-O Ne7 9. Nb3 Bb6 10. Re1, forced: 1
games: 157, white: 35%, black: 12%, pgn:1. e4 e6 2. d4 d5 3. Nd2 c5 4. Ngf3 Nc6 5. exd5 exd5 6. Bb5 Bd6 7. dxc5 Bxc5 8. Nb3 Bb6 9. O-O Ne7 10. Re1, forced: 2
games: 460, white: 35%, black: 20%, pgn:1. e4 e6 2. d4 d5 3. Nd2 c5 4. Ngf3 a6 5. dxc5, forced: 0
games: 87, white: 52%, black: 20%, pgn:1. e4 e6 2. d4 d5 3. Nd2 c5 4. Ngf3 Nc6 5. c3 Nf6 6. e5 Nd7 7. Bd3 Be7 8. O-O Qb6 9. dxc5, forced: 1
games: 456, white: 35%, black: 20%, pgn:1. e4 e6 2. d4 d5 3. Nd2 c5 4. Ngf3 a6 5. dxc5 Bxc5 , forced: 0
games: 330, white: 32%, black: 16%, pgn:1. e4 e6 2. d4 d5 3. Nd2 c5 4. Ngf3 cxd4 5. Nxd4 Nc6 6. Bb5 Bd7 7. Nxc6 Bxc6 , forced: 0
games: 330, white: 32%, black: 16%, pgn:1. e4 e6 2. d4 d5 3. Nd2 c5 4. Ngf3 Nc6 5. Bb5 cxd4 6. Nxd4 Bd7 7. Nxc6 Bxc6 , forced: 0
games: 87, white: 52%, black: 20%, pgn:1. e4 e6 2. d4 d5 3. Nd2 c5 4. Ngf3 Nf6 5. e5 Nfd7 6. c3 Nc6 7. Bd3 Be7 8. O-O Qb6 9. dxc5, forced: 0
games: 314, white: 32%, black: 16%, pgn:1. e4 e6 2. d4 d5 3. Nd2 c5 4. Ngf3 cxd4 5. Nxd4 Nc6 6. Bb5 Bd7 7. Nxc6 Bxc6 8. Bxc6+, forced: 1
games: 87, white: 52%, black: 20%, pgn:1. e4 e6 2. d4 d5 3. Nd2 c5 4. c3 Nc6 5. Ngf3 Nf6 6. e5 Nd7 7. Bd3 Be7 8. O-O Qb6 9. dxc5, forced: 1
games: 833, white: 33%, black: 20%, pgn:1. e4 e6 2. d4 d5 3. Nd2 c5 4. Ngf3 cxd4 5. Nxd4 Nc6 , forced: 0
games: 314, white: 32%, black: 16%, pgn:1. e4 e6 2. d4 d5 3. Nd2 c5 4. Ngf3 Nc6 5. Bb5 cxd4 6. Nxd4 Bd7 7. Nxc6 Bxc6 8. Bxc6+, forced: 1
games: 314, white: 32%, black: 16%, pgn:1. e4 e6 2. d4 d5 3. Nd2 c5 4. Ngf3 cxd4 5. Nxd4 Nc6 6. Bb5 Bd7 7. Nxc6 Bxc6 8. Bxc6+ bxc6 , forced: 1
games: 432, white: 33%, black: 18%, pgn:1. e4 e6 2. d4 d5 3. Nd2 c5 4. exd5 exd5 5. Ngf3 Nc6 6. Bb5 Bd6 7. O-O, forced: 0
games: 314, white: 32%, black: 16%, pgn:1. e4 e6 2. d4 d5 3. Nd2 c5 4. Ngf3 Nc6 5. Bb5 cxd4 6. Nxd4 Bd7 7. Nxc6 Bxc6 8. Bxc6+ bxc6 , forced: 1
games: 432, white: 33%, black: 18%, pgn:1. e4 e6 2. d4 d5 3. Nd2 c5 4. exd5 exd5 5. Bb5+ Nc6 6. Ngf3 Bd6 7. O-O, forced: 0
games: 766, white: 32%, black: 19%, pgn:1. e4 e6 2. d4 d5 3. Nd2 c5 4. Ngf3 cxd4 5. Nxd4 Nc6 6. Bb5 Bd7 7. Nxc6, forced: 0
games: 432, white: 33%, black: 18%, pgn:1. e4 e6 2. d4 d5 3. Nd2 c5 4. Ngf3 Nc6 5. exd5 exd5 6. Bb5 Bd6 7. O-O, forced: 0
games: 766, white: 32%, black: 19%, pgn:1. e4 e6 2. d4 d5 3. Nd2 c5 4. Ngf3 Nc6 5. Bb5 cxd4 6. Nxd4 Bd7 7. Nxc6, forced: 0
games: 641, white: 32%, black: 19%, pgn:1. e4 e6 2. d4 d5 3. Nd2 c5 4. Ngf3 cxd4 5. Nxd4 Nf6 , forced: 0
games: 76, white: 56%, black: 23%, pgn:1. e4 e6 2. d4 d5 3. Nd2 c5 4. Ngf3 Nc6 5. c3 Nf6 6. e5 Nd7 7. Bd3 g6 8. h4 Qb6 , forced: 1
