games: 186, white: 41%, black: 27%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 e6 4. d4 d5 5. e5 Qb6 6. Be2 Bd7 7. O-O, forced: 0
games: 348, white: 30%, black: 20%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 Nf6 4. e5 Nd5 5. Bc4 e6 , forced: 1
games: 213, white: 34%, black: 21%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 d5 4. exd5 Qxd5 5. d4 e6 6. Na3, forced: 1
games: 9077, white: 35%, black: 29%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 e6 4. d4 d5 5. e5, forced: 0
games: 215, white: 40%, black: 28%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 e6 4. d4 d5 5. e5 Qb6 6. Be2 Bd7 , forced: 0
games: 65, white: 44%, black: 13%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 Nf6 4. e5 Nd5 5. Bc4 Nb6 6. Bb3 c4 7. Bc2 Qc7 8. O-O Nxe5 9. Nxe5 Qxe5 10. Re1, forced: 4
games: 150, white: 38%, black: 22%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 d5 4. exd5 Qxd5 5. d4 Bg4 6. Be2 cxd4 7. cxd4 e6 8. Nc3 Qa5 9. h3 Bh5 , forced: 2
games: 446, white: 35%, black: 26%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 e6 4. d4 d5 , forced: 0
games: 409, white: 34%, black: 25%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 d5 4. exd5 Qxd5 5. d4 Bg4 6. Be2 cxd4 7. cxd4 e6 8. Nc3, forced: 2
games: 165, white: 36%, black: 21%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 e6 4. d4 d5 5. e5 Nge7 6. Bd3 cxd4 , forced: 0
games: 122, white: 39%, black: 22%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 d5 4. exd5 Qxd5 5. d4 Bg4 6. Be2 cxd4 7. cxd4 e6 8. Nc3 Qa5 9. h3, forced: 2
games: 191, white: 36%, black: 23%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 e6 4. d4 d5 5. e5 Nge7 6. Bd3 cxd4 7. cxd4, forced: 0
games: 61, white: 47%, black: 11%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 e6 4. d4 d5 5. e5 Qb6 6. Be2 cxd4 7. cxd4 Nh6 8. Bd3, forced: 0
games: 95, white: 45%, black: 25%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 e6 4. d4 d5 5. e5 Bd7 6. Be2 Nge7 7. Na3 Ng6 8. h4 cxd4 9. cxd4, forced: 1
games: 52, white: 59%, black: 19%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 e6 4. d4 d5 5. e5 Bd7 6. Be2 f6 7. O-O Qc7 8. Bf4, forced: 0
games: 696, white: 35%, black: 28%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 d5 4. exd5 Qxd5 5. d4 Nf6 6. Be3 cxd4 7. cxd4 e6 8. Nc3, forced: 1
games: 98, white: 44%, black: 24%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 d5 4. exd5 Qxd5 5. d4 Bg4 6. dxc5, forced: 1
games: 696, white: 35%, black: 28%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 d5 4. exd5 Qxd5 5. d4 e6 6. Be3 cxd4 7. cxd4 Nf6 8. Nc3, forced: 1
games: 277, white: 35%, black: 25%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 e6 4. d4 d5 5. e5 Nge7 6. Bd3 cxd4 7. cxd4 Nf5 , forced: 0
games: 215, white: 44%, black: 33%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 e6 4. d4 d5 5. e5 Qb6 6. Bd3 Bd7 , forced: 0
games: 363, white: 28%, black: 19%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 Nf6 4. e5 Nd5 5. Bc4 Nb6 6. Bb3 c4 7. Bc2 d6 8. exd6 Qxd6 9. O-O, forced: 2
games: 2422, white: 31%, black: 25%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 Nf6 4. e5 Nd5 5. Bc4 e6 6. d4 cxd4 7. cxd4 d6 , forced: 1
games: 363, white: 28%, black: 19%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 Nf6 4. e5 Nd5 5. Bc4 Nb6 6. Bb3 c4 7. Bc2 d5 8. exd6 Qxd6 9. O-O, forced: 2
games: 152, white: 38%, black: 23%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 e6 4. d4 d5 5. e5 Qb6 6. a3 Bd7 7. b4 cxd4 8. cxd4 Rc8 9. Be3 Nh6 10. Bd3, forced: 1
