games: 891, white: 50%, black: 42%, pgn:1. e4 e5 2. f4 d5 3. exd5 e4 4. Nc3 Nf6 5. d3 Bb4 6. dxe4 Nxe4 7. Qd4 Bxc3+ 8. bxc3
games: 58, white: 67%, black: 31%, pgn:1. e4 e5 2. f4 d5 3. exd5 e4 4. d3 Nf6 5. dxe4 Bc5 6. Nc3 O-O 7. e5
games: 836, white: 50%, black: 42%, pgn:1. e4 e5 2. f4 d5 3. exd5 e4 4. Nc3 Nf6 5. d3 Bb4 6. dxe4 Nxe4 7. Qd4 Bxc3+ 
games: 4639, white: 49%, black: 44%, pgn:1. e4 e5 2. f4 d5 3. exd5 e4 4. d3 exd3 
games: 384, white: 51%, black: 41%, pgn:1. e4 e5 2. f4 d5 3. exd5 e4 4. d3 e3 5. Bxe3 Nf6 6. Nc3
games: 359, white: 52%, black: 42%, pgn:1. e4 e5 2. f4 d5 3. exd5 e4 4. d3 exd3 5. Bxd3 Bc5 6. Nf3
games: 4639, white: 49%, black: 44%, pgn:1. e4 e5 2. f4 d5 3. exd5 e4 4. d4 exd3 
games: 384, white: 51%, black: 41%, pgn:1. e4 e5 2. f4 d5 3. exd5 e4 4. d3 e3 5. Nc3 Nf6 6. Bxe3
games: 359, white: 52%, black: 42%, pgn:1. e4 e5 2. f4 d5 3. exd5 e4 4. d4 exd3 5. Bxd3 Bc5 6. Nf3
games: 108, white: 56%, black: 34%, pgn:1. e4 e5 2. f4 d5 3. exd5 e4 4. d3 Nf6 5. dxe4 Nxe4 6. Nf3 Bc5 7. Bd3 Qe7 
games: 108, white: 56%, black: 34%, pgn:1. e4 e5 2. f4 d5 3. exd5 e4 4. d3 Nf6 5. dxe4 Bc5 6. Nf3 Nxe4 7. Bd3 Qe7 
games: 57822, white: 49%, black: 45%, pgn:1. e4 e5 2. f4 d5 3. exd5 e4 
games: 239, white: 54%, black: 42%, pgn:1. e4 e5 2. f4 d5 3. exd5 e4 4. d3 exd3 5. Qxd3 Bc5 6. Nc3 Nf6 7. Bd2
games: 203, white: 55%, black: 41%, pgn:1. e4 e5 2. f4 d5 3. exd5 e4 4. d3 Nf6 5. Qe2 Bg4 
games: 239, white: 54%, black: 42%, pgn:1. e4 e5 2. f4 d5 3. exd5 e4 4. d4 exd3 5. Qxd3 Bc5 6. Nc3 Nf6 7. Bd2
games: 196, white: 52%, black: 37%, pgn:1. e4 e5 2. f4 d5 3. exd5 e4 4. d3 Qxd5 5. Nc3 Bb4 6. dxe4 Qxe4+ 
games: 211, white: 54%, black: 41%, pgn:1. e4 e5 2. f4 d5 3. exd5 e4 4. d3 Nf6 5. dxe4 Nxe4 6. Nf3 Bc5 7. Bd3 f5 
games: 215, white: 53%, black: 40%, pgn:1. e4 e5 2. f4 d5 3. exd5 e4 4. d3 e3 5. Nc3 Nf6 
games: 211, white: 54%, black: 41%, pgn:1. e4 e5 2. f4 d5 3. exd5 e4 4. d3 Nf6 5. dxe4 Bc5 6. Nf3 Nxe4 7. Bd3 f5 
games: 1029, white: 50%, black: 44%, pgn:1. e4 e5 2. f4 d5 3. exd5 e4 4. d3 exd3 5. Bxd3 Nf6 6. Nc3 Bc5 
games: 1029, white: 50%, black: 44%, pgn:1. e4 e5 2. f4 d5 3. exd5 e4 4. d3 exd3 5. Bxd3 Bc5 6. Nc3 Nf6 
games: 800, white: 49%, black: 42%, pgn:1. e4 e5 2. f4 d5 3. exd5 e4 4. d3 Nf6 5. Qe2 Qxd5 6. Nc3 Bb4 
