games: 938, white: 56%, black: 37%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 e6 4. Nb5 Na6 5. e3 c5 6. c3 Be7 7. Nf3 O-O 8. a4 Bd7 , forced: 1
games: 938, white: 56%, black: 37%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 e6 4. Nb5 Na6 5. e3 c5 6. c3 Be7 7. a4 O-O 8. Nf3 Bd7 , forced: 1
games: 938, white: 56%, black: 37%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 e6 4. Nb5 Na6 5. e3 c5 6. c3 Be7 7. a4 Bd7 8. Nf3 O-O , forced: 2
games: 938, white: 56%, black: 37%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 e6 4. Nb5 Na6 5. e3 c5 6. c3 Bd7 7. a4 Be7 8. Nf3 O-O , forced: 2
games: 653, white: 56%, black: 36%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 e6 4. Nb5 Na6 5. e3 c5 6. c3 Qb6 7. Nf3 Bd7 , forced: 1
games: 250, white: 60%, black: 34%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 e6 4. Nb5 Na6 5. e3 c5 6. c3 Qb6 7. a4 Bd7 8. Nf3 Be7 9. Ne5, forced: 1
games: 250, white: 60%, black: 34%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 e6 4. Nb5 Na6 5. e3 c5 6. c3 Qb6 7. Nf3 Bd7 8. a4 Be7 9. Ne5, forced: 2
games: 938, white: 56%, black: 37%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 e6 4. Nb5 Na6 5. e3 c5 6. Nf3 Be7 7. c3 O-O 8. a4 Bd7 , forced: 1
games: 2151, white: 55%, black: 38%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 e6 4. Nb5 Na6 5. e3 c5 6. c3 Be7 7. Nf3, forced: 1
games: 431, white: 58%, black: 36%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 e6 4. Nb5 Na6 5. e3 c6 6. Nc3 Nb8 7. Qf3 Bd6 , forced: 1
games: 938, white: 56%, black: 37%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 e6 4. Nb5 Na6 5. e3 c5 6. Nf3 Be7 7. a4 O-O 8. c3 Bd7 , forced: 1
games: 2151, white: 55%, black: 38%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 e6 4. Nb5 Na6 5. e3 c5 6. Nf3 Be7 7. c3, forced: 1
