games: 700, white: 50%, black: 42%, pgn:1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. f4 g6 6. Nc3 Bg7 7. Nf3 O-O 8. h3
games: 700, white: 50%, black: 42%, pgn:1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. f4 g6 6. Nc3 Bg7 7. h3 O-O 8. Nf3
games: 700, white: 50%, black: 42%, pgn:1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. f4 g6 6. Nf3 Bg7 7. Nc3 O-O 8. h3
games: 700, white: 50%, black: 42%, pgn:1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. f4 g6 6. Nf3 Bg7 7. h3 O-O 8. Nc3
games: 700, white: 50%, black: 42%, pgn:1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. f4 g6 6. h3 Bg7 7. Nf3 O-O 8. Nc3
games: 700, white: 50%, black: 42%, pgn:1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. f4 g6 6. h3 Bg7 7. Nc3 O-O 8. Nf3
games: 691, white: 29%, black: 62%, pgn:1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. f4 g6 6. Nc3 Bg7 7. Be3 Be6 8. Nf3 O-O 9. b3 c5 
games: 691, white: 29%, black: 62%, pgn:1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. f4 g6 6. Nc3 Bg7 7. Nf3 O-O 8. Be3 Be6 9. b3 c5 
games: 691, white: 29%, black: 62%, pgn:1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. f4 g6 6. Nc3 Bg7 7. Nf3 Be6 8. Be3 O-O 9. b3 c5 
games: 691, white: 29%, black: 62%, pgn:1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. f4 g6 6. Nf3 Bg7 7. Nc3 O-O 8. Be3 Be6 9. b3 c5 
games: 691, white: 29%, black: 62%, pgn:1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. f4 g6 6. Nf3 Bg7 7. Nc3 Be6 8. Be3 O-O 9. b3 c5 
games: 691, white: 29%, black: 62%, pgn:1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. f4 g6 6. Nf3 Bg7 7. Be3 O-O 8. Nc3 Be6 9. b3 c5 
games: 691, white: 29%, black: 62%, pgn:1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. f4 g6 6. Nf3 Bg7 7. Be3 Be6 8. Nc3 O-O 9. b3 c5 
games: 691, white: 29%, black: 62%, pgn:1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. f4 g6 6. Be3 Bg7 7. Nc3 Be6 8. Nf3 O-O 9. b3 c5 
games: 691, white: 29%, black: 62%, pgn:1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. f4 g6 6. Be3 Bg7 7. Nf3 O-O 8. Nc3 Be6 9. b3 c5 
games: 691, white: 29%, black: 62%, pgn:1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. f4 g6 6. Be3 Bg7 7. Nf3 Be6 8. Nc3 O-O 9. b3 c5 
games: 670, white: 38%, black: 54%, pgn:1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. f4 g6 6. Nc3 Bg7 7. Be3 Be6 8. b3 O-O 
games: 670, white: 38%, black: 54%, pgn:1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. f4 g6 6. Be3 Bg7 7. Nc3 Be6 8. b3 O-O 
games: 665, white: 47%, black: 45%, pgn:1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. f4 g6 6. Nc3 dxe5 
games: 652, white: 46%, black: 45%, pgn:1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. f4 g6 6. Nc3 Bg7 7. Nf3 O-O 8. Be2 dxe5 9. fxe5 Bg4 10. Be3
games: 652, white: 46%, black: 45%, pgn:1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. f4 g6 6. Nf3 Bg7 7. Nc3 O-O 8. Be2 dxe5 9. fxe5 Bg4 10. Be3
games: 636, white: 45%, black: 47%, pgn:1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. f4 g6 6. Nc3 Bg7 7. Be2 dxe5 8. fxe5 O-O 9. Be3 c5 
games: 636, white: 45%, black: 47%, pgn:1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. f4 g6 6. Be3 Bg7 7. Be2 O-O 8. Nc3 dxe5 9. fxe5 c5 
games: 634, white: 47%, black: 46%, pgn:1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. f4 g6 6. Nf3 Bg7 7. Be2 O-O 8. O-O Bg4 9. Nc3
games: 632, white: 55%, black: 38%, pgn:1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. f4 g6 6. Nc3 Bg7 7. Be2 dxe5 8. fxe5 Nc6 9. Be3
games: 632, white: 55%, black: 38%, pgn:1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. f4 g6 6. Nc3 dxe5 7. fxe5 Nc6 8. Be3 Bg7 9. Be2
games: 628, white: 42%, black: 52%, pgn:1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. f4 g6 6. Nc3 Bg7 7. Nf3 O-O 8. Be2 dxe5 9. fxe5
games: 628, white: 42%, black: 52%, pgn:1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. f4 g6 6. Nf3 Bg7 7. Nc3 O-O 8. Be2 dxe5 9. fxe5
games: 620, white: 42%, black: 51%, pgn:1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. f4 g6 6. Nc3 Bg7 7. Nf3 dxe5 8. fxe5 c5 9. d5 O-O 10. Bf4
games: 620, white: 42%, black: 51%, pgn:1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. f4 g6 6. Nf3 Bg7 7. Nc3 dxe5 8. fxe5 c5 9. d5 O-O 10. Bf4
games: 604, white: 33%, black: 60%, pgn:1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. f4 g6 6. Nc3 Bg7 7. Be3 Be6 8. Nf3 O-O 9. d5
games: 604, white: 33%, black: 60%, pgn:1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. f4 g6 6. Nc3 Bg7 7. Nf3 O-O 8. Be3 Be6 9. d5
games: 604, white: 33%, black: 60%, pgn:1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. f4 g6 6. Nc3 Bg7 7. Nf3 Be6 8. Be3 O-O 9. d5
games: 604, white: 33%, black: 60%, pgn:1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. f4 g6 6. Nf3 Bg7 7. Nc3 O-O 8. Be3 Be6 9. d5
games: 604, white: 33%, black: 60%, pgn:1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. f4 g6 6. Nf3 Bg7 7. Nc3 Be6 8. Be3 O-O 9. d5
games: 604, white: 33%, black: 60%, pgn:1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. f4 g6 6. Nf3 Bg7 7. Be3 O-O 8. Nc3 Be6 9. d5
