games: 17, white: 41%, black: 47%, pgn:1. e4 e6 2. d4 d5 3. Nc3 dxe4 4. Nxe4 Nf6 5. Bg5 Nbd7 6. c3 b6 
games: 831, white: 41%, black: 47%, pgn:1. e4 e6 2. d4 d5 3. Nc3 dxe4 4. Nxe4 Nd7 5. Nf3 Ngf6 6. Bd3 c5 7. Bg5
games: 831, white: 41%, black: 47%, pgn:1. e4 e6 2. d4 d5 3. Nc3 dxe4 4. Nxe4 Nd7 5. Bd3 Ngf6 6. Nf3 c5 7. Bg5
games: 831, white: 41%, black: 47%, pgn:1. e4 e6 2. d4 d5 3. Nc3 dxe4 4. Nxe4 Nd7 5. Bd3 c5 6. Nf3 Ngf6 7. Bg5
games: 831, white: 41%, black: 47%, pgn:1. e4 e6 2. d4 d5 3. Nc3 dxe4 4. Nxe4 Nd7 5. Bg5 Ngf6 6. Bd3 c5 7. Nf3
games: 831, white: 41%, black: 47%, pgn:1. e4 e6 2. d4 d5 3. Nc3 dxe4 4. Nxe4 Nf6 5. Bg5 Nbd7 6. Bd3 c5 7. Nf3
games: 831, white: 41%, black: 47%, pgn:1. e4 e6 2. d4 d5 3. Nc3 dxe4 4. Nxe4 Nf6 5. Bd3 Nbd7 6. Nf3 c5 7. Bg5
games: 1146, white: 40%, black: 46%, pgn:1. e4 e6 2. d4 d5 3. Nc3 dxe4 4. Nxe4 Nd7 5. Bg5 Ngf6 6. Bxf6 Nxf6 7. Nxf6+
games: 1146, white: 40%, black: 46%, pgn:1. e4 e6 2. d4 d5 3. Nc3 dxe4 4. Nxe4 Nf6 5. Bg5 Nbd7 6. Bxf6 Nxf6 7. Nxf6+
games: 64, white: 40%, black: 46%, pgn:1. e4 e6 2. d4 d5 3. Nc3 dxe4 4. Nxe4 Bd7 5. Bd3 Bc6 6. c3 Nf6 7. Bg5
games: 64, white: 40%, black: 46%, pgn:1. e4 e6 2. d4 d5 3. Nc3 dxe4 4. Nxe4 Bd7 5. c3 Bc6 6. Bd3 Nf6 7. Bg5
games: 19, white: 47%, black: 52%, pgn:1. e4 e6 2. d4 d5 3. Nc3 dxe4 4. Nxe4 Nd7 5. Bg5 Be7 6. Qd2
games: 17, white: 47%, black: 52%, pgn:1. e4 e6 2. d4 d5 3. Nc3 dxe4 4. Nxe4 Nd7 5. Bd3 Ngf6 6. Qe2 b6 7. Bd2
games: 19, white: 47%, black: 52%, pgn:1. e4 e6 2. d4 d5 3. Nc3 dxe4 4. Nxe4 Nd7 5. Bg5 Be7 6. Nf3 Bxg5 7. Nfxg5
games: 17, white: 47%, black: 52%, pgn:1. e4 e6 2. d4 d5 3. Nc3 dxe4 4. Nxe4 Nf6 5. Bd3 Nbd7 6. Qe2 b6 7. Bd2
games: 70, white: 47%, black: 52%, pgn:1. e4 e6 2. d4 d5 3. Nc3 dxe4 4. Nxe4 Nf6 5. Bd3 Nc6 6. Nf3 b6 7. Nxf6+
games: 74, white: 45%, black: 50%, pgn:1. e4 e6 2. d4 d5 3. Nc3 dxe4 4. Nxe4 Bd7 5. Bd3 Bc6 6. Qe2 Qxd4 
