games: 242, white: 36%, black: 52%, pgn:1. e4 e5 2. Nf3 Nc6 3. Bb5 a6 4. Bxc6 dxc6 5. d3 Bd6 6. Nbd2 Be6 
games: 217, white: 36%, black: 52%, pgn:1. e4 e5 2. Nf3 Nc6 3. Bb5 a6 4. Bxc6 dxc6 5. d3 f6 6. Nbd2 Bd6 7. O-O
games: 14, white: 42%, black: 57%, pgn:1. e4 e5 2. Nf3 Nc6 3. Bb5 a6 4. Ba4 d6 5. h3 f5 6. Nc3 fxe4 7. Nxe4
games: 39, white: 41%, black: 56%, pgn:1. e4 e5 2. Nf3 Nc6 3. Bb5 a6 4. Ba4 Bc5 5. d3 Qf6 6. c3 b5 
games: 27, white: 40%, black: 55%, pgn:1. e4 e5 2. Nf3 Nc6 3. Bb5 a6 4. Bc4 Nf6 5. Nc3 Nxe4 6. Bxf7+
games: 27, white: 40%, black: 55%, pgn:1. e4 e5 2. Nf3 Nc6 3. Bb5 a6 4. Bc4 Nf6 5. Nc3 Nxe4 6. Bxf7+ Kxf7 
games: 335, white: 40%, black: 55%, pgn:1. e4 e5 2. Nf3 Nc6 3. Bb5 a6 4. Bxc6 dxc6 5. O-O f6 6. h3 Be6 7. d3
games: 335, white: 40%, black: 55%, pgn:1. e4 e5 2. Nf3 Nc6 3. Bb5 a6 4. Bxc6 dxc6 5. h3 f6 6. O-O Be6 7. d3
games: 27, white: 40%, black: 55%, pgn:1. e4 e5 2. Nf3 Nc6 3. Bb5 a6 4. Bc4 Nf6 5. Nc3 Nxe4 6. Bxf7+ Kxf7 7. Nxe4
games: 126, white: 38%, black: 53%, pgn:1. e4 e5 2. Nf3 Nc6 3. Bb5 a6 4. Ba4 Bc5 5. d3 Qf6 6. O-O
games: 294, white: 38%, black: 53%, pgn:1. e4 e5 2. Nf3 Nc6 3. Bb5 a6 4. Bxc6 dxc6 5. Nc3 f6 6. d3 Be6 
games: 362, white: 38%, black: 53%, pgn:1. e4 e5 2. Nf3 Nc6 3. Bb5 a6 4. Bxc6 dxc6 5. d3 f6 6. Nbd2 c5 
games: 126, white: 38%, black: 53%, pgn:1. e4 e5 2. Nf3 Nc6 3. Bb5 a6 4. Bxc6 dxc6 5. d3 f6 6. h3 Ne7 
games: 126, white: 38%, black: 53%, pgn:1. e4 e5 2. Nf3 Nc6 3. Bb5 a6 4. Bxc6 dxc6 5. h3 f6 6. d3 Ne7 
games: 84, white: 38%, black: 53%, pgn:1. e4 e5 2. Nf3 Nc6 3. Bb5 a6 4. Ba4 d6 5. O-O Bd7 6. c3 Nge7 7. Bc2
games: 84, white: 38%, black: 53%, pgn:1. e4 e5 2. Nf3 Nc6 3. Bb5 a6 4. Ba4 d6 5. c3 Bd7 6. O-O Nge7 7. Bc2
games: 203, white: 38%, black: 53%, pgn:1. e4 e5 2. Nf3 Nc6 3. Bb5 a6 4. Bxc6 dxc6 5. d3 Bd6 6. Nbd2 Ne7 7. h3
games: 185, white: 37%, black: 52%, pgn:1. e4 e5 2. Nf3 Nc6 3. Bb5 a6 4. Ba4 Nf6 5. d3 d6 6. h3 g6 7. Nc3
games: 185, white: 37%, black: 52%, pgn:1. e4 e5 2. Nf3 Nc6 3. Bb5 a6 4. Ba4 d6 5. h3 Nf6 6. d3 g6 7. Nc3
