white: 52%, black: 39%, pgn:1. e4 c6 2. d4 d5 3. exd5 cxd5 4. Nf3 e6 5. c3 Bd6 
white: 52%, black: 42%, pgn:1. e4 c6 2. d4 d5 3. exd5 cxd5 4. Nf3 e6 5. c3 a6 
white: 52%, black: 41%, pgn:1. e4 c6 2. d4 d5 3. exd5 cxd5 4. c3 Bf5 5. Bf4 e6 
white: 52%, black: 43%, pgn:1. e4 c6 2. d4 d5 3. exd5 cxd5 4. c3 e6 5. Bd3 a6 
white: 52%, black: 39%, pgn:1. e4 c6 2. d4 d5 3. exd5 cxd5 4. c3 e6 5. Nf3 Bd6 
white: 52%, black: 42%, pgn:1. e4 c6 2. d4 d5 3. exd5 cxd5 4. c3 e6 5. Nf3 a6 
white: 52%, black: 38%, pgn:1. e4 c6 2. d4 d5 3. exd5 cxd5 4. c3 e6 5. Bf4 Bd6 
white: 52%, black: 39%, pgn:1. e4 c6 2. d4 d5 3. exd5 cxd5 4. Bd3 Nc6 5. c3 e6 6. f4
white: 52%, black: 35%, pgn:1. e4 c6 2. d4 d5 3. exd5 cxd5 4. Bd3 Nf6 5. h3 g6 6. Bg5
white: 52%, black: 42%, pgn:1. e4 c6 2. d4 d5 3. exd5 cxd5 4. Bd3 Nf6 5. h3 g6 6. Qf3
